,bagnet verd o salsa verde piemontese,besciamella con il bimby,bisque di gamberi,bucatini alla gricia,calamarata napoletana,caponata di melanzane e peperoni,caramello salato,cavatelli alla lucana,chili beans di carne,"chimichurri, la ricetta della salsa argentina per le carni e il pesce alla griglia",chutney di mango speziato,chutney di pere,cipolle in agrodolce con salsa di soia,come preparare la panna acida,crema di parmigiano,creme fraiche,crostini alle mele,fonduta di grana padano,gamberi thai,genovese di baccalà,gricia di mare,hummus di carote viola,hummus di ceci,hummus di fagioli azuki,ketchup fatto in casa,linguine agli scampi,linguine noci e nocciole,maionese,paccheri con baccalà,pasta al pesto con funghi porcini,pasta al ragù bianco con funghi,pasta alla norcina e funghi,pasta asparagi e tonno,pasta con baccalà in bianco,pasta con carciofi,pasta con castagne e salsiccia,pasta con fiori di zucca,pasta con melanzane e finocchietto,pasta con melograno e noci,pasta con peperoni e tonno fresco,pasta con zucchine e pancetta,pasta e piselli,pasta melanzane e pomodorini,pasta radicchio e speck,pasta ricotta e noci,pasta salmone noci e pistacchio,pasta sarde e finocchietto fatta in casa,pasta zucchine e tonno,penne al baffo,"pesto alla genovese fatto in casa, la ricetta originale",pesto alla siciliana,pesto alla trapanese,pesto di foglie di ravanello,pesto di melanzane light,pesto di zucchine,pico de gallo,pizzoccheri con pesce spada,polpo alla luciana,ragù di soia vegetale,ragù napoletano,ragù rosso di carne,rigatoni alla genovese,salsa al curry,salsa allo yogurt,salsa allo yogurt per kebab,salsa aurora,salsa cocktail (salsa rosa),salsa gravy,salsa mornay,salsa olandese,salsa tahina fatta in casa,"salsa tartara, una maionese arricchita con erbe e sottaceti",salsa tonnata,salsa verde,scampi alla busara,spaghetti bottarga e limone,spaghetti cacio e pepe,"spaghetti con pesto di broccoli, sarde e uvetta",sugo ai funghi porcini per servire la pasta o la polenta,trofie alla carlofortina
pasta con fiori di zucca,0.08,0.0,0.0,0.0,0.08,0.08,0.0,0.06,0.06,0.08,0.0,0.0,0.09,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.07,0.1,0.08,0.0,0.06,0.08,0.0,0.0,0.29,0.08,0.08,0.07,0.08,0.08,0.26,1.0,0.09,0.08,0.09,0.08,0.32,0.09,0.06,0.28,0.07,0.06,0.16,0.08,0.09,0.08,0.08,0.0,0.08,0.16,0.0,0.08,0.08,0.06,0.08,0.06,0.06,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.08,0.0,0.1,0.1,0.06
pasta con melanzane e finocchietto,0.07,0.09,0.0,0.09,0.16,0.33,0.1,0.18,0.16,0.2,0.0,0.0,0.08,0.0,0.0,0.0,0.2,0.08,0.0,0.14,0.08,0.2,0.26,0.2,0.06,0.24,0.22,0.0,0.08,0.14,0.22,0.14,0.13,0.22,0.2,0.07,0.09,1.0,0.14,0.08,0.07,0.14,0.26,0.06,0.14,0.13,0.06,0.22,0.14,0.08,0.14,0.23,0.0,0.44,0.14,0.08,0.22,0.22,0.1,0.14,0.12,0.12,0.08,0.0,0.23,0.08,0.07,0.0,0.07,0.0,0.12,0.0,0.1,0.23,0.2,0.14,0.09,0.14,0.18,0.18
pasta con melograno e noci,0.06,0.08,0.0,0.08,0.06,0.12,0.09,0.16,0.1,0.12,0.0,0.0,0.07,0.0,0.0,0.0,0.12,0.07,0.0,0.12,0.14,0.11,0.15,0.12,0.06,0.16,0.12,0.0,0.0,0.06,0.12,0.18,0.17,0.12,0.12,0.06,0.08,0.14,1.0,0.07,0.18,0.24,0.07,0.06,0.12,0.17,0.06,0.12,0.18,0.07,0.06,0.14,0.0,0.12,0.12,0.07,0.12,0.12,0.18,0.18,0.1,0.1,0.07,0.0,0.14,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.09,0.14,0.12,0.12,0.16,0.08,0.08,0.1
pasta con peperoni e tonno fresco,0.07,0.0,0.07,0.0,0.08,0.07,0.0,0.06,0.11,0.07,0.0,0.0,0.08,0.0,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.06,0.08,0.07,0.0,0.06,0.07,0.0,0.0,0.07,0.07,0.07,0.06,0.07,0.14,0.14,0.09,0.08,0.07,1.0,0.0,0.07,0.16,0.06,0.07,0.06,0.06,0.07,0.07,0.08,0.07,0.08,0.0,0.07,0.07,0.0,0.07,0.07,0.05,0.07,0.06,0.06,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.07,0.07,0.0,0.09,0.09,0.18
pasta con zucchine e pancetta,0.0,0.08,0.0,0.08,0.0,0.06,0.09,0.1,0.04,0.06,0.0,0.0,0.0,0.0,0.08,0.0,0.06,0.07,0.0,0.06,0.14,0.06,0.08,0.06,0.06,0.1,0.06,0.0,0.0,0.0,0.12,0.12,0.17,0.06,0.06,0.0,0.08,0.07,0.18,0.0,1.0,0.3,0.0,0.0,0.06,0.3,0.0,0.22,0.18,0.0,0.0,0.06,0.0,0.06,0.35,0.07,0.06,0.06,0.14,0.12,0.1,0.1,0.07,0.0,0.06,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.04,0.06,0.06,0.06,0.16,0.08,0.0,0.1
pasta e piselli,0.06,0.08,0.0,0.08,0.06,0.11,0.08,0.14,0.09,0.11,0.0,0.0,0.07,0.0,0.08,0.0,0.11,0.07,0.0,0.11,0.12,0.1,0.14,0.11,0.06,0.15,0.12,0.0,0.0,0.24,0.18,0.16,0.21,0.12,0.11,0.22,0.32,0.14,0.24,0.07,0.3,1.0,0.07,0.05,0.29,0.21,0.05,0.12,0.22,0.07,0.06,0.12,0.0,0.11,0.18,0.07,0.12,0.12,0.16,0.16,0.14,0.1,0.07,0.0,0.12,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.08,0.12,0.11,0.12,0.15,0.11,0.15,0.14
pasta melanzane e pomodorini,0.07,0.0,0.07,0.0,0.08,0.26,0.0,0.06,0.06,0.07,0.0,0.0,0.08,0.0,0.0,0.0,0.07,0.0,0.0,0.07,0.08,0.06,0.08,0.07,0.0,0.12,0.07,0.0,0.08,0.07,0.07,0.07,0.06,0.27,0.14,0.14,0.09,0.26,0.07,0.16,0.0,0.07,1.0,0.06,0.07,0.06,0.06,0.24,0.07,0.08,0.07,0.08,0.0,0.3,0.14,0.0,0.07,0.07,0.05,0.07,0.06,0.06,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.07,0.14,0.09,0.09,0.09,0.24
pasta radicchio e speck,0.2,0.06,0.0,0.0,0.06,0.05,0.0,0.04,0.04,0.05,0.0,0.0,0.06,0.15,0.06,0.0,0.05,0.0,0.0,0.05,0.0,0.05,0.06,0.05,0.0,0.04,0.1,0.15,0.12,0.22,0.06,0.05,0.05,0.06,0.05,0.16,0.06,0.06,0.06,0.06,0.0,0.05,0.06,1.0,0.05,0.05,0.14,0.06,0.05,0.06,0.16,0.06,0.12,0.05,0.06,0.0,0.06,0.06,0.04,0.05,0.04,0.04,0.0,0.1,0.06,0.0,0.0,0.0,0.06,0.2,0.0,0.1,0.04,0.06,0.05,0.06,0.0,0.14,0.06,0.04
pasta ricotta e noci,0.06,0.08,0.0,0.08,0.06,0.11,0.08,0.1,0.14,0.11,0.0,0.0,0.07,0.0,0.0,0.0,0.11,0.07,0.0,0.11,0.06,0.1,0.14,0.16,0.06,0.1,0.3,0.0,0.0,0.22,0.12,0.11,0.16,0.12,0.11,0.2,0.28,0.14,0.12,0.07,0.06,0.29,0.07,0.05,1.0,0.23,0.05,0.12,0.11,0.07,0.12,0.12,0.0,0.11,0.12,0.07,0.12,0.12,0.08,0.11,0.1,0.1,0.07,0.0,0.12,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.08,0.12,0.11,0.12,0.08,0.11,0.08,0.1
pasta salmone noci e pistacchio,0.06,0.07,0.0,0.07,0.06,0.16,0.18,0.14,0.08,0.2,0.0,0.0,0.06,0.0,0.07,0.0,0.1,0.06,0.04,0.1,0.12,0.1,0.14,0.1,0.05,0.14,0.26,0.0,0.0,0.06,0.17,0.1,0.2,0.11,0.1,0.06,0.07,0.13,0.17,0.06,0.3,0.21,0.06,0.05,0.23,1.0,0.05,0.11,0.16,0.06,0.06,0.12,0.0,0.1,0.17,0.06,0.11,0.11,0.12,0.1,0.09,0.14,0.15,0.0,0.2,0.16,0.14,0.0,0.16,0.0,0.19,0.0,0.16,0.22,0.1,0.11,0.14,0.14,0.07,0.14
pasta sarde e finocchietto fatta in casa,0.05,0.06,0.0,0.0,0.06,0.05,0.0,0.04,0.04,0.05,0.0,0.0,0.06,0.0,0.06,0.0,0.05,0.0,0.0,0.1,0.0,0.05,0.06,0.05,0.0,0.09,0.06,0.0,0.0,0.06,0.06,0.05,0.05,0.06,0.1,0.1,0.06,0.06,0.06,0.06,0.0,0.05,0.06,0.14,0.05,0.05,1.0,0.06,0.05,0.06,0.06,0.06,0.0,0.05,0.06,0.0,0.06,0.06,0.08,0.05,0.04,0.08,0.0,0.0,0.12,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.04,0.06,0.1,0.06,0.0,0.06,0.06,0.04
pasta zucchine e tonno,0.06,0.08,0.0,0.08,0.14,0.12,0.09,0.16,0.14,0.18,0.0,0.0,0.07,0.0,0.0,0.0,0.18,0.07,0.0,0.12,0.14,0.17,0.22,0.18,0.06,0.16,0.12,0.0,0.06,0.12,0.18,0.12,0.27,0.38,0.18,0.06,0.16,0.22,0.12,0.07,0.22,0.12,0.24,0.06,0.12,0.11,0.06,1.0,0.12,0.07,0.12,0.2,0.0,0.18,0.35,0.07,0.18,0.18,0.09,0.12,0.1,0.1,0.07,0.0,0.2,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.09,0.2,0.18,0.18,0.16,0.12,0.16,0.16
penne al baffo,0.11,0.0,0.0,0.0,0.12,0.16,0.08,0.19,0.09,0.11,0.0,0.0,0.07,0.0,0.08,0.0,0.11,0.07,0.0,0.16,0.0,0.1,0.18,0.11,0.0,0.1,0.12,0.0,0.0,0.06,0.18,0.16,0.16,0.12,0.11,0.06,0.08,0.14,0.18,0.07,0.18,0.22,0.07,0.05,0.11,0.16,0.05,0.12,1.0,0.0,0.0,0.0,0.0,0.16,0.18,0.0,0.12,0.18,0.12,0.0,0.0,0.0,0.07,0.06,0.12,0.14,0.06,0.0,0.06,0.0,0.1,0.0,0.16,0.19,0.16,0.18,0.08,0.11,0.08,0.14
"pesto alla genovese fatto in casa, la ricetta originale",0.07,0.0,0.0,0.0,0.08,0.07,0.0,0.06,0.06,0.07,0.0,0.0,0.08,0.0,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.06,0.08,0.07,0.0,0.06,0.07,0.0,0.0,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.09,0.08,0.07,0.08,0.0,0.07,0.08,0.06,0.07,0.06,0.06,0.07,0.0,1.0,0.0,0.0,0.0,0.07,0.14,0.0,0.07,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.07,0.07,0.0,0.18,0.09,0.12
pesto alla siciliana,0.12,0.0,0.0,0.0,0.14,0.06,0.0,0.16,0.1,0.12,0.0,0.0,0.07,0.09,0.0,0.0,0.12,0.0,0.0,0.06,0.0,0.11,0.15,0.12,0.0,0.1,0.06,0.0,0.14,0.18,0.12,0.12,0.11,0.12,0.12,0.12,0.08,0.14,0.06,0.07,0.0,0.06,0.07,0.16,0.12,0.06,0.06,0.12,0.0,0.0,1.0,0.0,0.07,0.18,0.18,0.0,0.12,0.12,0.09,0.0,0.0,0.0,0.0,0.06,0.14,0.0,0.0,0.0,0.0,0.08,0.0,0.06,0.04,0.14,0.12,0.06,0.0,0.28,0.16,0.16
pesto alla trapanese,0.06,0.0,0.0,0.0,0.14,0.12,0.1,0.22,0.15,0.19,0.0,0.0,0.08,0.0,0.0,0.0,0.19,0.08,0.0,0.12,0.0,0.18,0.24,0.19,0.0,0.17,0.14,0.0,0.07,0.14,0.2,0.19,0.12,0.2,0.19,0.06,0.08,0.23,0.14,0.08,0.06,0.12,0.08,0.06,0.12,0.12,0.06,0.2,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.0,0.2,0.2,0.14,0.0,0.0,0.0,0.08,0.0,0.22,0.08,0.06,0.0,0.06,0.0,0.11,0.0,0.1,0.22,0.19,0.14,0.08,0.17,0.17,0.16
pesto di foglie di ravanello,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
pesto di melanzane light,0.11,0.08,0.0,0.08,0.12,0.42,0.08,0.19,0.14,0.16,0.0,0.0,0.07,0.0,0.0,0.0,0.16,0.07,0.0,0.16,0.06,0.16,0.25,0.16,0.06,0.15,0.12,0.0,0.06,0.12,0.18,0.11,0.1,0.18,0.22,0.06,0.08,0.44,0.12,0.07,0.06,0.11,0.3,0.05,0.11,0.1,0.05,0.18,0.16,0.07,0.18,0.25,0.0,1.0,0.12,0.07,0.18,0.24,0.12,0.11,0.1,0.1,0.07,0.06,0.19,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.16,0.25,0.22,0.18,0.08,0.11,0.15,0.14
pesto di zucchine,0.06,0.08,0.0,0.08,0.06,0.12,0.09,0.16,0.1,0.12,0.0,0.0,0.07,0.0,0.08,0.0,0.12,0.07,0.0,0.12,0.06,0.11,0.15,0.12,0.06,0.1,0.12,0.0,0.0,0.06,0.18,0.18,0.17,0.12,0.12,0.06,0.16,0.14,0.12,0.07,0.35,0.18,0.14,0.06,0.12,0.17,0.06,0.35,0.18,0.14,0.18,0.2,0.0,0.12,1.0,0.07,0.12,0.12,0.09,0.12,0.1,0.1,0.07,0.0,0.14,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.09,0.14,0.12,0.12,0.08,0.28,0.08,0.26
pico de gallo,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.06,0.06,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.0,0.07,0.0,0.06,0.08,0.07,0.0,0.06,0.07,0.0,0.0,0.0,0.07,0.07,0.06,0.07,0.07,0.0,0.0,0.08,0.07,0.0,0.07,0.07,0.0,0.0,0.07,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.07,1.0,0.07,0.07,0.05,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.07,0.0,0.07,0.0,0.12,0.0,0.05,0.08,0.07,0.07,0.09,0.0,0.0,0.06
pizzoccheri con pesce spada,0.06,0.08,0.0,0.08,0.14,0.12,0.09,0.16,0.14,0.18,0.0,0.0,0.07,0.0,0.0,0.0,0.18,0.07,0.0,0.12,0.06,0.17,0.22,0.18,0.06,0.16,0.12,0.0,0.06,0.12,0.18,0.18,0.11,0.18,0.18,0.06,0.08,0.22,0.12,0.07,0.06,0.12,0.07,0.06,0.12,0.11,0.06,0.18,0.12,0.07,0.12,0.2,0.07,0.18,0.12,0.07,1.0,0.18,0.09,0.12,0.1,0.1,0.07,0.0,0.2,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.09,0.2,0.18,0.12,0.08,0.12,0.16,0.16
polpo alla luciana,0.12,0.08,0.0,0.08,0.14,0.12,0.09,0.2,0.19,0.18,0.0,0.0,0.07,0.0,0.0,0.0,0.18,0.07,0.0,0.18,0.06,0.17,0.26,0.18,0.06,0.16,0.12,0.0,0.06,0.18,0.18,0.12,0.11,0.18,0.18,0.06,0.08,0.22,0.12,0.07,0.06,0.12,0.07,0.06,0.12,0.11,0.06,0.18,0.18,0.07,0.12,0.2,0.0,0.24,0.12,0.07,0.18,1.0,0.09,0.12,0.1,0.1,0.07,0.12,0.2,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.18,0.26,0.3,0.18,0.08,0.12,0.16,0.16
ragù di soia vegetale,0.04,0.11,0.09,0.06,0.04,0.08,0.06,0.11,0.1,0.08,0.0,0.0,0.1,0.0,0.06,0.0,0.12,0.1,0.04,0.16,0.1,0.12,0.1,0.08,0.04,0.15,0.09,0.0,0.0,0.04,0.09,0.12,0.12,0.09,0.08,0.04,0.06,0.1,0.18,0.05,0.14,0.16,0.05,0.04,0.08,0.12,0.08,0.09,0.12,0.05,0.09,0.14,0.0,0.12,0.09,0.05,0.09,0.09,1.0,0.12,0.14,0.14,0.05,0.0,0.1,0.05,0.04,0.0,0.09,0.0,0.07,0.0,0.06,0.1,0.08,0.09,0.17,0.06,0.06,0.07
ragù napoletano,0.06,0.0,0.0,0.0,0.12,0.16,0.08,0.19,0.09,0.11,0.0,0.0,0.07,0.0,0.0,0.0,0.11,0.07,0.0,0.11,0.0,0.1,0.14,0.11,0.0,0.1,0.12,0.0,0.0,0.06,0.12,0.16,0.1,0.12,0.11,0.06,0.08,0.14,0.18,0.07,0.12,0.16,0.07,0.05,0.11,0.1,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.11,0.12,0.0,0.12,0.12,0.12,1.0,0.0,0.0,0.07,0.0,0.12,0.14,0.06,0.0,0.06,0.0,0.1,0.0,0.08,0.12,0.11,0.12,0.08,0.08,0.08,0.1
ragù rosso di carne,0.05,0.0,0.05,0.0,0.11,0.14,0.07,0.12,0.08,0.1,0.0,0.0,0.12,0.0,0.0,0.0,0.19,0.06,0.04,0.19,0.0,0.09,0.12,0.1,0.0,0.08,0.1,0.0,0.0,0.05,0.1,0.1,0.09,0.1,0.1,0.05,0.06,0.12,0.1,0.06,0.1,0.14,0.06,0.04,0.1,0.09,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.14,0.0,1.0,0.0,0.06,0.0,0.11,0.12,0.05,0.0,0.05,0.0,0.08,0.0,0.07,0.11,0.1,0.1,0.13,0.06,0.06,0.08
rigatoni alla genovese,0.05,0.0,0.05,0.0,0.06,0.1,0.07,0.08,0.08,0.1,0.0,0.0,0.12,0.0,0.0,0.0,0.14,0.12,0.04,0.19,0.0,0.09,0.12,0.1,0.0,0.08,0.1,0.0,0.0,0.05,0.1,0.1,0.09,0.1,0.14,0.1,0.06,0.12,0.1,0.06,0.1,0.1,0.06,0.04,0.1,0.14,0.08,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.14,0.0,0.0,1.0,0.06,0.0,0.16,0.06,0.05,0.0,0.05,0.0,0.08,0.05,0.07,0.11,0.14,0.16,0.13,0.1,0.06,0.08
salsa al curry,0.0,0.18,0.07,0.09,0.0,0.07,0.45,0.06,0.06,0.32,0.0,0.0,0.0,0.0,0.09,0.0,0.07,0.08,0.06,0.07,0.08,0.06,0.08,0.07,0.06,0.06,0.07,0.0,0.0,0.0,0.07,0.07,0.06,0.07,0.14,0.07,0.0,0.08,0.07,0.08,0.07,0.07,0.08,0.0,0.07,0.15,0.0,0.07,0.07,0.0,0.0,0.08,0.0,0.07,0.07,0.08,0.07,0.07,0.05,0.07,0.06,0.06,1.0,0.0,0.24,0.34,0.24,0.12,0.4,0.0,0.37,0.0,0.22,0.32,0.07,0.07,0.09,0.0,0.0,0.12
salsa allo yogurt,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.18,0.14,0.06,0.0,0.0,0.0,0.06,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.14,0.06,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.22,0.09,0.06,0.06,0.06,0.0,0.04,0.0,0.0
salsa allo yogurt per kebab,0.06,0.08,0.0,0.17,0.14,0.12,0.34,0.16,0.15,0.44,0.0,0.0,0.08,0.0,0.0,0.0,0.19,0.16,0.0,0.12,0.07,0.18,0.24,0.19,0.06,0.17,0.14,0.0,0.07,0.14,0.2,0.12,0.12,0.2,0.19,0.06,0.08,0.23,0.14,0.08,0.06,0.12,0.08,0.06,0.12,0.2,0.12,0.2,0.12,0.08,0.14,0.22,0.0,0.19,0.14,0.08,0.2,0.2,0.1,0.12,0.11,0.16,0.24,0.0,1.0,0.32,0.23,0.0,0.32,0.0,0.36,0.06,0.26,0.46,0.19,0.2,0.08,0.12,0.17,0.16
salsa aurora,0.0,0.09,0.0,0.09,0.08,0.14,0.6,0.12,0.06,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.0,0.07,0.08,0.06,0.08,0.07,0.2,0.06,0.07,0.1,0.0,0.0,0.07,0.07,0.06,0.07,0.07,0.0,0.0,0.08,0.07,0.0,0.07,0.07,0.0,0.0,0.07,0.16,0.0,0.07,0.14,0.0,0.0,0.08,0.0,0.07,0.07,0.08,0.07,0.07,0.05,0.14,0.12,0.06,0.34,0.0,0.32,1.0,0.46,0.0,0.57,0.0,0.62,0.07,0.3,0.57,0.07,0.07,0.09,0.0,0.0,0.06
salsa cocktail (salsa rosa),0.0,0.08,0.0,0.08,0.0,0.06,0.34,0.05,0.04,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.18,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.07,0.06,0.0,0.06,0.06,0.0,0.0,0.06,0.14,0.0,0.06,0.06,0.0,0.0,0.06,0.0,0.06,0.06,0.07,0.06,0.06,0.04,0.06,0.05,0.05,0.24,0.0,0.23,0.46,1.0,0.0,0.31,0.0,0.35,0.0,0.21,0.38,0.06,0.06,0.08,0.0,0.0,0.05
salsa gravy,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salsa mornay,0.0,0.4,0.06,0.08,0.0,0.06,0.76,0.05,0.04,0.56,0.0,0.0,0.0,0.0,0.32,0.1,0.06,0.22,0.0,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.07,0.06,0.0,0.06,0.06,0.0,0.06,0.06,0.16,0.06,0.06,0.06,0.0,0.0,0.06,0.0,0.06,0.06,0.07,0.06,0.06,0.09,0.06,0.05,0.05,0.4,0.0,0.32,0.57,0.31,0.1,1.0,0.08,0.6,0.06,0.3,0.56,0.06,0.06,0.08,0.0,0.0,0.05
salsa olandese,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.08,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
salsa tahina fatta in casa,0.0,0.13,0.0,0.13,0.0,0.1,0.64,0.08,0.08,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.0,0.1,0.11,0.18,0.12,0.1,0.09,0.08,0.1,0.0,0.0,0.0,0.1,0.1,0.09,0.1,0.1,0.0,0.0,0.12,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.19,0.0,0.1,0.1,0.0,0.0,0.11,0.0,0.1,0.1,0.12,0.1,0.1,0.07,0.1,0.08,0.08,0.37,0.0,0.36,0.62,0.35,0.0,0.6,0.0,1.0,0.0,0.32,0.61,0.1,0.1,0.13,0.0,0.0,0.08
"salsa tartara, una maionese arricchita con erbe e sottaceti",0.3,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.08,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.08,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.22,0.06,0.07,0.0,0.0,0.06,0.4,0.0,1.0,0.0,0.0,0.0,0.06,0.0,0.04,0.08,0.0
salsa tonnata,0.12,0.06,0.0,0.06,0.04,0.08,0.31,0.14,0.06,0.34,0.0,0.0,0.05,0.0,0.0,0.07,0.08,0.05,0.0,0.16,0.04,0.08,0.16,0.08,0.04,0.08,0.09,0.0,0.0,0.04,0.09,0.08,0.12,0.09,0.08,0.04,0.06,0.1,0.09,0.05,0.04,0.08,0.05,0.04,0.08,0.16,0.04,0.09,0.16,0.05,0.04,0.1,0.0,0.16,0.09,0.05,0.09,0.18,0.06,0.08,0.07,0.07,0.22,0.09,0.26,0.3,0.21,0.0,0.3,0.0,0.32,0.0,1.0,0.44,0.16,0.18,0.06,0.06,0.06,0.07
salsa verde,0.12,0.08,0.0,0.08,0.14,0.12,0.6,0.22,0.15,0.69,0.0,0.0,0.08,0.0,0.0,0.0,0.19,0.08,0.0,0.19,0.07,0.18,0.28,0.19,0.06,0.17,0.14,0.1,0.07,0.14,0.2,0.12,0.12,0.2,0.19,0.06,0.08,0.23,0.14,0.08,0.06,0.12,0.08,0.06,0.12,0.22,0.06,0.2,0.19,0.08,0.14,0.22,0.0,0.25,0.14,0.08,0.2,0.26,0.1,0.12,0.11,0.11,0.32,0.06,0.46,0.57,0.38,0.0,0.56,0.0,0.61,0.0,0.44,1.0,0.25,0.2,0.08,0.17,0.17,0.16
scampi alla busara,0.11,0.08,0.0,0.08,0.19,0.11,0.08,0.19,0.18,0.16,0.06,0.06,0.07,0.0,0.0,0.0,0.16,0.07,0.0,0.22,0.06,0.16,0.25,0.16,0.06,0.45,0.12,0.0,0.06,0.18,0.18,0.11,0.1,0.24,0.22,0.12,0.08,0.2,0.12,0.07,0.06,0.11,0.07,0.05,0.11,0.1,0.1,0.18,0.16,0.07,0.12,0.19,0.0,0.22,0.12,0.07,0.18,0.3,0.08,0.11,0.1,0.14,0.07,0.06,0.19,0.07,0.06,0.0,0.06,0.0,0.1,0.0,0.16,0.25,1.0,0.18,0.08,0.11,0.15,0.14
