,aglio sott’olio,amarene sciroppate,apple butter,apple butter o burro di mele,basilico sott’olio,caramelle alla menta,caramelle di gelatina alla frutta,cetrioli sotto aceto,chutney di mango speziato,chutney di melanzane,chutney di pere,ciliegie sciroppate,cipolle in agrodolce con salsa di soia,cipolle rosse in agrodolce,come fare i funghi porcini sottolio in tre mosse,composta di mele pinoli e uvetta,composta di pesche alla vaniglia,composta di rabarbaro,"concentrato di pomodoro fatto in casa, la ricetta per farlo asciutto e saporito",confettura di ciliegie,confettura di fragole e semi di chia senza cottura,confettura di pere e mele allo zafferano,confettura di pesche e amaretti,confettura di pomodori verdi,conserva di fagiolini sott’olio,curd di nespole alla menta,funghi sott’olio,garam masala,giardiniera,ketchup fatto in casa,lemon curd,liquore al cedro,liquore alla menta e limone,"marmellata di arance amare senza zucchero, una ricetta anti-fame",marmellata di arance con il bimby,marmellata di ciliegie bimby,"marmellata di cipolle con il bimby, per una consistenza perfetta",marmellata di fichi e noci,marmellata di fragole,marmellata di kiwi fatta in casa,marmellata di lamponi senza zucchero,"marmellata di limoni senza buccia fatta in casa, una ricetta con poco zucchero",marmellata di prugne,marmellata di prugne e zenzero,marron glacé,melanzane sott’olio,melanzane sott’olio fatte in casa,melanzane sott’olio senza cottura,olive in salamoia,passata di pomodoro,peperoncini sott’olio,peperoni cruschi,pesche sciroppate,pomodori secchi sott’olio,pomodorini confit,"preparato per biscotti ai fiocchi d’avena, mandorle e mirtilli",rumtopf,sale al vino rosso,sale aromatizzato alle erbe,sciroppo al cioccolato,succo di mela fatto in casa,tartellette con confettura di latte e miele,uova in conserva,uva sotto spirito: come farla in casa facilmente e a basso costo,"zucca sott’olio, la ricetta di una conserva senza cottura",zucchine sott’olio
marron glacé,0.0,0.16,0.0,0.0,0.0,0.3,0.11,0.0,0.0,0.0,0.0,0.22,0.09,0.11,0.0,0.0,0.3,0.11,0.0,0.11,0.0,0.18,0.0,0.13,0.08,0.0,0.08,0.0,0.14,0.07,0.1,0.22,0.2,0.11,0.0,0.13,0.11,0.0,0.13,0.0,0.1,0.0,0.13,0.09,1.0,0.08,0.08,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.08,0.13,0.0,0.0,0.26,0.11,0.0,0.07,0.3,0.08,0.08
melanzane sott’olio,0.26,0.0,0.0,0.0,0.29,0.16,0.0,0.0,0.06,0.16,0.11,0.09,0.14,0.09,0.14,0.0,0.08,0.0,0.12,0.0,0.0,0.07,0.0,0.0,0.42,0.07,0.4,0.0,0.06,0.06,0.0,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,1.0,0.25,0.06,0.09,0.24,0.26,0.2,0.09,0.42,0.18,0.06,0.0,0.12,0.0,0.1,0.09,0.0,0.17,0.08,0.12,0.35
melanzane sott’olio fatte in casa,0.06,0.0,0.0,0.0,0.0,0.08,0.0,0.09,0.06,0.1,0.11,0.09,0.07,0.0,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.31,0.0,0.12,0.0,0.12,0.0,0.0,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.25,1.0,0.29,0.09,0.08,0.09,0.0,0.09,0.18,0.06,0.0,0.0,0.0,0.0,0.1,0.09,0.0,0.11,0.08,0.06,0.18
melanzane sott’olio senza cottura,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.11,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.29,1.0,0.08,0.08,0.0,0.0,0.0,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.06
olive in salamoia,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.1,0.0,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.09,0.0,0.16,0.0,0.16,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.09,0.09,0.08,1.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.08,0.16,0.11,0.09,0.09
passata di pomodoro,0.08,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.09,0.11,0.17,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.22,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.08,0.08,0.0,1.0,0.11,0.26,0.0,0.24,0.24,0.08,0.0,0.16,0.0,0.0,0.0,0.0,0.07,0.0,0.16,0.16
peperoncini sott’olio,0.22,0.0,0.0,0.0,0.34,0.0,0.0,0.12,0.1,0.07,0.0,0.0,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.25,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.09,0.0,0.0,0.11,1.0,0.14,0.0,0.26,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.43
peperoni cruschi,0.11,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.12,0.14,0.11,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.19,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.26,0.14,1.0,0.0,0.2,0.2,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.09,0.0,0.1,0.1
pesche sciroppate,0.0,0.0,0.08,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.2,0.54,0.0,0.09,0.1,0.08,0.0,0.08,0.0,0.0,0.12,0.11,0.0,0.14,0.0,0.0,0.0,0.0,0.25,0.11,0.29,0.0,0.0,0.11,0.09,0.09,0.0,0.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.25,0.08,0.08,0.11,0.0,0.09
pomodori secchi sott’olio,0.26,0.0,0.0,0.0,0.29,0.0,0.0,0.09,0.06,0.2,0.06,0.0,0.07,0.09,0.2,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.34,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.18,0.06,0.0,0.24,0.26,0.2,0.0,1.0,0.18,0.06,0.0,0.12,0.0,0.0,0.0,0.0,0.11,0.0,0.12,0.29
pomodorini confit,0.06,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.07,0.09,0.14,0.0,0.0,0.0,0.12,0.09,0.0,0.0,0.0,0.0,0.12,0.0,0.18,0.07,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.06,0.12,0.0,0.24,0.09,0.2,0.0,0.18,1.0,0.06,0.0,0.12,0.0,0.0,0.0,0.0,0.11,0.0,0.12,0.12
"preparato per biscotti ai fiocchi d’avena, mandorle e mirtilli",0.0,0.12,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.16,0.06,0.0,0.08,0.08,0.12,0.08,0.0,0.07,0.0,0.1,0.0,0.0,0.06,0.0,0.06,0.1,0.08,0.08,0.08,0.0,0.0,0.1,0.08,0.0,0.1,0.0,0.0,0.0,0.1,0.07,0.08,0.06,0.0,0.0,0.0,0.08,0.0,0.1,0.0,0.06,0.06,1.0,0.1,0.12,0.0,0.1,0.0,0.06,0.06,0.08,0.12,0.0
rumtopf,0.0,0.2,0.0,0.0,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.13,0.14,0.0,0.14,0.0,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.1,0.09,0.13,0.14,0.13,0.0,0.0,0.16,0.14,0.0,0.16,0.0,0.0,0.0,0.16,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.16,0.0,0.0,0.0,0.13,0.1,0.0
sale al vino rosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.14,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.16,0.0,0.2,0.0,0.12,0.12,0.12,0.0,1.0,0.0,0.0,0.0,0.0,0.11,0.0,0.12,0.0
sale aromatizzato alle erbe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sciroppo al cioccolato,0.0,0.2,0.0,0.0,0.0,0.26,0.14,0.0,0.0,0.0,0.0,0.29,0.12,0.14,0.0,0.0,0.26,0.14,0.0,0.14,0.0,0.24,0.0,0.16,0.1,0.0,0.1,0.0,0.19,0.09,0.13,0.29,0.26,0.0,0.0,0.16,0.14,0.0,0.16,0.0,0.13,0.0,0.16,0.12,0.26,0.1,0.1,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.1,0.16,0.0,0.0,1.0,0.14,0.0,0.09,0.26,0.1,0.1
succo di mela fatto in casa,0.0,0.0,0.08,0.62,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.1,0.14,0.0,0.09,0.0,0.08,0.0,0.08,0.0,0.0,0.12,0.11,0.0,0.14,0.0,0.0,0.28,0.0,0.5,0.11,0.14,0.0,0.26,0.11,0.09,0.09,0.0,0.12,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.08,0.08,0.11,0.0,0.09
tartellette con confettura di latte e miele,0.0,0.0,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.08,1.0,0.0,0.0,0.0,0.0
uova in conserva,0.18,0.0,0.06,0.0,0.0,0.07,0.0,0.0,0.06,0.04,0.05,0.08,0.06,0.08,0.12,0.0,0.07,0.0,0.11,0.0,0.0,0.06,0.0,0.0,0.11,0.06,0.21,0.2,0.13,0.1,0.07,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.17,0.11,0.06,0.16,0.07,0.0,0.09,0.08,0.11,0.11,0.06,0.0,0.11,0.0,0.09,0.08,0.0,1.0,0.07,0.11,0.06
uva sotto spirito: come farla in casa facilmente e a basso costo,0.0,0.16,0.0,0.0,0.0,0.2,0.11,0.0,0.0,0.0,0.0,0.22,0.09,0.11,0.0,0.0,0.3,0.11,0.0,0.11,0.0,0.18,0.0,0.13,0.08,0.0,0.08,0.0,0.14,0.07,0.1,0.22,0.2,0.11,0.0,0.13,0.11,0.0,0.13,0.0,0.1,0.0,0.13,0.09,0.3,0.08,0.08,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.08,0.13,0.0,0.0,0.26,0.11,0.0,0.07,1.0,0.08,0.08
"zucca sott’olio, la ricetta di una conserva senza cottura",0.06,0.12,0.0,0.0,0.0,0.08,0.09,0.0,0.06,0.05,0.0,0.09,0.0,0.26,0.2,0.0,0.08,0.09,0.12,0.09,0.0,0.07,0.0,0.1,0.06,0.0,0.18,0.0,0.14,0.11,0.08,0.09,0.08,0.0,0.0,0.1,0.09,0.0,0.1,0.0,0.0,0.0,0.1,0.07,0.08,0.12,0.06,0.06,0.09,0.16,0.09,0.1,0.0,0.12,0.12,0.12,0.1,0.12,0.0,0.1,0.0,0.0,0.11,0.08,1.0,0.12
zucchine sott’olio,0.19,0.0,0.0,0.0,0.29,0.08,0.0,0.18,0.06,0.1,0.0,0.09,0.14,0.09,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.42,0.0,0.34,0.0,0.18,0.0,0.0,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.35,0.18,0.06,0.09,0.16,0.43,0.1,0.09,0.29,0.12,0.0,0.0,0.0,0.0,0.1,0.09,0.0,0.06,0.08,0.12,1.0
