Ingrediente Planeat;Ingrediente Dissapore;Match Value
scamone per trita;salmone in tranci;0
patate lamelle;patate bollita;1
ricotta salata;pancetta stagionata;0
pancetta arrotolata affettata;pancetta a fette;1
cavolo rosso;carciofo romanesco;0
cavatelli freschi;mirtillo freschi;0
rosmarino fresco;rabarbaro fresco;0
gnocchi di patate;acciuga in pasta;0
primosale a cubetti;limone a fette;0
pasta di salsiccia;pasta tipo paccheri;0
pomodori ciliegini;pomodori gialli e rossi;1
insalata mista;insalata lollo;1
ragù e provola;provola;0
pasta corta;pasta sfoglia tonda;0
formaggio spalmabile;formaggio -casera;0
pomodoro grappolo;pomodori pomodorini;1
pepe nero in grani;pepe rosa in bacche;0
pomodoro grappolo;pomodoro ciliegino;1
cumino macinato;vino moscato;0
spinacino fresco lavato;origano fresco tritato;0
accessori;aceto rosso;0
focaccina tonda;zucchine tonde;0
caciocavallo silano dop;caciocavallo stagionato grattugiato;1
farina di ceci;farina fecola;1
pomodoro grappolo affettato;pomodoro insalataro;1
latte di cocco;latte di cocco in lattina;1
olio extra vergine di oliva bio levante;olio extravergine di olica;1
olio di semi di girasole;olio di semi di sesamo;0
fagiolini cotti;fagiolini lessati;1
mortadella bolognese i.g.p;mortadella bologna;1
salsa noci;alga nori;0
trito per soffritto;riso per risotto;0
germogli di soia;germogli di alfa alfa;0
melanzane grigliate;melanzana viola;1
funghi pioppini mondati;funghi pioppini o chiodini;1
pepe rosa in grani;pepe rosa in bacche;1
pomodori ciliegini;pomodori di tipo ciliegino;1
piadina integrale;riso integrale;0
vino bianco;vino rosato o bianco;1
vino dolce;mais dolce;0
cumino macinato;vitello macinato;0
pomodori datterini;pomodori medi;1
ricotta vaccina granarolo;ricotta vaccina;1
mascarpone;marrone;0
cetriolo;stridolo;0
zucchero a velo;zucchero vanigliato;0
timo fresco;lievito fresco;0
zucchine julienne;zucchina tagliata a julienne;1
provola affumicata;paprika affumitata;0
aglio tritato;ghiaccio tritato;0
miele;melone;0
patate in fiocchi;sale integrale in fiocchi;0
pomodori secchi;pomodori secchi sott'olio;1
penne integrali cotte;pane integrale a cassetta;0
zucchero semolato bianco;zucchero bianco;1
arancia navel;arancia amare;1
zucchine tritate;zucchine tonde;1
olio extra vergine di oliva bio levante;olio extravergine di oliva delicato;1
cavolini di bruxelles cotti;cavoletti di bruxelles;1
prosciutto cotto;prosciutto cotto affettato;1
pepe nero macinato;pepe nero in grani;1
farina 00;farina oo;1
olio extra vergine di oliva bio levante;olio extravergine dioliva;1
mozzarella di bufala a fette;mozzarella fiordialatte;0
yogurt greco dop 10%;yogurt greco;1
finocchi;canocchia;0
pepe rosa in grani;pepe rosso e nero in grani;0
provola affumicata;paprika affumicata;0
pane grattugiato;grana padano grattuggiato;0
funghi porcini;funghi porcini freschi;1
biscotti petit;biscotti digestive;1
cavolo rosso;aglio rosso;0
cipolla;cipolla rossa;1
piselli cotti;ceci cotti;0
fagioli cannellini bio cotti;fagiolo cannellini già lessi;1
financier al cioccolato;rollini al cioccolato;0
rosmarino fresco;rosmarino tritato;1
formaggio spalmabile;formaggio robiola;1
trofie fresche;prugne fresche;0
pomodori ciliegini rondelle;pomodoro ciliegini;1
pasta fresca all'uovo precotta surgelata;pasta fresca all'uovo per lasagne;1
provola affumicata;ricotta affumicata;0
formaggio pecorino romano;pecorino romani;1
cime di rapa surgelate;cime di rapa;1
salsa di soia e miele;salsa di soia fino;1
germogli di soia;germogli a piacere;1
zucchine grigliate;zucchine piccole;1
mais;miso;0
penne integrali cotte;pane integrale a cassetta;0
melanzane grigliate;melanzana perline;1
melanzane cubettate;melanzana violetta;1
zucchine fiammifero;zucchine chiare;1
mandorle pelate;mandorla;1
cumino macinato;carne macinato;0
pasta corta;pasta frolla;0
pecorino romano grattugiato;parmigiano grana padano grattugiato;1
patate rondelle;patate grandi;1
farro perlato;farro decorticato;1
insalata mista;insalata romana;1
orzo perlato;pomodoro pelato;0
vino bianco;cavolfiore bianco;0
cipolla affettata;mortadella affettata;0
pomodori ciliegini;pomodori perini;1
timo fresco;asiago fresco;0
farina 00;farina w 350;1
cavatelli freschi;piselli freschi;0
salvia fresca;scamorza fresca;0
paprika;paprika dolce;1
catalogna;scalogno;0
pomodori ciliegini rondelle;pomodoro ciliegino;1
olio extra vergine di oliva bio levante;olio extravergine di oliva aromatizzato alla menta;1
pepe nero macinato;pepe nero macinato al momento;1
gorgonzola dop cubetti;gorgonzola dolce cremoso;1
melanzane cubettate;melanzana violette;1
prosciutto cotto affettato;prosciutto cotto;1
patate rondelle;patate grosse;1
zucchine grigliate;zucchina grande;1
olio extra vergine di oliva bio levante;olio extravergine d oliva;1
pasta di salsiccia;pasta di vaniglia;0
pomodori datterini;pomodori medi;1
pomodori ciliegini lavati;pomodori ciliegino giallo;1
parmigiano reggiano;parmigiano reggiano grattufiato;1
prosciutto cotto;prosciutto cotto affettato;1
bresaola punta d'anca affettata;bresaola affettata;1
pane raffermo;pane (panino raffermo);1
pepe nero macinato;pepe macinato;1
funghi champignon crema;funghi champignon;1
pane raffermo;pandoro raffermo;0
cumino macinato;tacchino macinato;0
mozzarella julienne;mozzarella ciliegine;0
fagioli borlotti bio;fagiolini borlotti;1
scamone;salmone;0
pepe rosa in grani;pepe nero in grani;1
riso basmati cotto;riso basmati;1
zucchero semolato bianco;zucchero bianco semolato bianco;1
pomodori datterini;pomodori datterini confit;1
burro;burro 1;1
prosciutto crudo di parma crumble;prosciutto crudo di parma;1
aglio a fette;limone a fette;0
riso carnaroli cotto;riso carnaroli;1
spinaci surgelati;spinaci purea;0
rucola;cola;0
limone;lime;1
cetriolo;cetriolino;1
burro;burro 1;1
insalata novella;insalata lollo;1
farina 00;farina 450;1
farina di ceci;farina di cocco;0
pane grattugiato;pepe nero grattugiato;0
pepe nero in grani;pepe in grani;1
piadina integrale;pancarrè integrale;0
prosciutto cotto cubettato;prosciutto cotto a cubetti;1
mela golden;mela tipo golden;1
pane grattugiato;pangrattato;1
farina di ceci;farina di nocciole;0
pepe nero macinato;pepe nero, macinato fresco;1
provola affumicata;provola affumicata fresca;1
pane raffermo;pandoro raffermo;0
zucchero semolato;zucchero semolato bianci;1
magatello di vitello;macinato di vitello;1
origano essiccato;origano secco;1
salamini cacciatorini;salame cacciatorino;1
cipolla spicchi;cipolla piccola;1
financier al cioccolato;wafer al cioccolato;0
scamone;salmone;0
zucchine;zucchina;1
semi di sesamo;semi di sesamo nero;1
vino rosso fermo;vino rosso leggero;1
pane bianco;pepe bianco;0
pomodori ciliegini;pomodoro ciliegino;1
pomodori ciliegini;pomodori ciliegino giallo;1
pomodori datterini;pomodori perini;1
cipolla tritata;cipolle tritata fine;1
prosciutto cotto affettato;prosciutto cotto a fette;1
spada fresco;salvia fresco;0
riso carnaroli cotto;riso carnaroli;1
salvia fresca;sarda fresca;0
formaggio spalmabile 100 g;formaggio spalmabile light;1
maionese;maionese bio;1
pomodori datterini;pomodori datterini gialli;1
basilico fresco;basilico greco fresco;1
peperoni;peperone;1
pomodori datterini;pomodori datterino giallo;1
burro;burro 1;1
pomodori ciliegini lavati;pomodori ciliegia;1
aneto;aceto;0
orzo perlato cotto;orzo perlato;1
pepe nero in grani;pepe rosa in grani;1
zucchero semolato bianco;zucchero semolato;1
mozzarella di bufala 125 g;mozzarella da 250 g;1
pomodori ciliegini lavati;pomodori ciliegieni;1
pomodoro grappolo;pomodori a grappolo;1
latte di cocco;latte di cocco denso;1
spinaci surgelati;spinaci purea;0
pepe nero macinato;pepe nero macinato fresco;1
patate rondelle;patate novelle;1
financier al cioccolato;wafer al cioccolato;0
vino rosso fermo;vino rosso secco;1
finocchi;gnocchi;0
pomodori datterini lavati;pomodori datterini;1
pomodori datterini rondelle;pomodori datterini;1
timo fresco;tomino fresco;0
maionese;maionese bio;1
financier al cioccolato;wafer al cioccolato;0
salsa di soia kikkoman;salsa di soia bio;1
magatello di vitello;macinato di vitello;0
farina 00;farina 1;1
olio di semi di girasole;olio di girasole;1
ceci bio cotti;ceci cotti;1
prosciutto crudo di parma dop;prosciutto crudo di carpegna;1
pepe nero macinato;pepe rosa macinato;1
spinaci freschi mondati;spinaci freschi puliti;1
pomodori secchi;pomodori semisecchi;1
fusilli integrali cotti;fusilli integrali;1
funghi porcini;funghi porcini secchi;1
cipolla tritata;cipolle tritata fine;1
pomodori datterini rondelle;pomodori datterini gialli;1
panna fresca da montare;panna da montare;1
olio di semi di girasole;olio di girasole;1
fagioli cannellini bio;fagiolo cannellini secchi;1
noci tritate;nocciola tritate;0
patate rondelle;patate novelle;1
pomodori ciliegini;pomodori ciliegino giallo;1
riso carnaroli cotto;riso carnaroli;1
prosciutto cotto affettato;prosciutto cotto affettato sottile;1
fiori di zucca;fiori di zucchina;1
farina 00;farina 0;1
mozzarella fiordilatte;mozzarella tipo fiordilatte;1
provola affumicata;provola affumicato;1
pepe nero macinato;pepe nero marinato;1
zucchero a velo;zucchero a belo;1
aceto di mele;aceto di mela;1
pomodori ciliegini;pomodori ciliegia;1
pomodori secchi;pomodoro secchi;1
provola affumicata;provola affumicato;1
olio extravergine di oliva;olio extravergine di oliv;1
olio extravergine di oliva;olio extravergine di oiliva;1
mozzarella fiordilatte;mozzarella fiordilatta;1
cipolla rossa;cipolle rossa;1
riso basmati cotto;riso basmati già cotto;1
mozzarella fiordilatte;mozzarella fior di latte;1
farina 00;farina 0;1
mozzarella fiordilatte;mozarella fiordilatte;1
olio extravergine di oliva;olio extravergine d'oliva;1
pomodori ciliegini;pomodoro ciliegini;1
pomodori ciliegini;pomodori ciliegieni;1
pane grattugiato;pane grattuggiato;1
olio extravergine di oliva;olio extravergine d oliva;1
pomodori ciliegini;pomodori ciliegia;1
zucchero a velo;zucchero a belo;1
mozzarella fiordilatte;mozzarella tipo fiordilatte;1
pane grattugiato;pane grattuggiato;1
basilico fresco;basilico fresca;1
mozzarella fiordilatte;mozzarella fior di latte;1
olive taggiasche;olive teaggiasche;1
piselli finissimi surgelati;piselli fini surgelati;1
zucchero a velo;zucchero a belo;1
cavoletti bruxelles;cavoletti di bruxelles;1
olio extravergine di oliva;olio extravergine d'oliva;1
zucchero semolato bianco;zucchero semolato, bianco;1
farro perlato;farro pelato;1
mandorle pelate;mandorle spellate;1
formaggio spalmabile;formaggio spalamabile;1
salvia fresca;salvia fresco;1
cipolla rossa;cipolle rossa;1
cavolo rosso;cavoli rosso;1
salvia fresca;salvia fresco;1
olio extravergine di oliva;olio extravergine d oliva;1
cavoletti bruxelles;cavoletti di bruxelles;1
olio extravergine di oliva;olio extravergine d'oliva;1
mozzarella fiordilatte;mozarella fiordilatte;1
mandorle pelate;mandorle spellate;1
mozzarella fiordilatte;mozzarella tipo fiordilatte;1
formaggio spalmabile;formaggio spalamabile;1
cotechino cotto;cotechino precotto;1
pane in cassetta;pane a cassetta;1
formaggio spalmabile;formaggio spalamabile;1
olio extravergine di oliva;olio extravergine d oliva;1
mozzarella fiordilatte;mozzarella fior di latte;1
succo di limone;succo di lime;1
olio extravergine di oliva;olio extravergine di olica;1
olio extravergine di oliva;olio extravergine d'oliva;1
pomodori ciliegini;pomodori ciliegino;1
olio extravergine di oliva;olio extravergine di olica;1
piselli finissimi surgelati;piselli fini surgelati;1
basilico fresco;basilico fresca;1
cipolla rossa;cipolle rossa;1
finocchi;finocchio;1
riso basmati cotto;riso basmati già cotto;1
pepe nero macinato;pepe nero vaccinato;1
zucchero a velo;zucchero a belo;1
olio extravergine di oliva;olio extravergine di olica;1
cotechino cotto;cotechino precotto;1
cipolla tritata;cipolle tritata;1
cipolla tritata;cipolle tritata;1
cipolla tritata;cipolle tritata;1
pomodori ciliegini;pomodori ciligino;1
mozzarella fiordilatte;mozzarella fiordialatte;1
cavolfiori;cavolfiore;1
olio extravergine di oliva;olio extravergine di oiliva;1
pomodori ciliegini;pomodori ciliegia;1
prosciutto crudo di parma dop;prosciutto crudo di parma;1
pomodori ciliegini;pomodori ciliegino;1
fiori di zucca;fiori di zucchina;1
prosciutto crudo di parma dop;prosciutto crudo di parma;1
mozzarella fiordilatte;mozarella fiordilatte;1
prosciutto crudo di parma dop;prosciutto crudo di parma;1
pomodori secchi;pomodoro secchi;1
zucchero semolato bianco;zucchero semolato, bianco;1
pomodori ciliegini;pomodori ciliegia;1
mozzarella fiordilatte;mozzarella fiordialatte;1
mandorle pelate;mandorle spellate;1
mozzarella fiordilatte;mozarella fiordilatte;1
riso basmati cotto;riso basmati già cotto;1
basilico fresco;basilico fresca;1
prosciutto crudo di parma dop;prosciutto crudo di parma;1
cavolo rosso;cavoli rosso;1
succo di limone;succo di lime;1
zucchero semolato bianco;zucchero semolato bianci;1
mozzarella fiordilatte;mozzarella tipo fiordilatte;1
pomodori secchi;pomodori secco;1
spaghettoni;spaghetti;1
formaggio spalmabile;formaggio spalamabile;1
provola affumicata;provola affumicato;1
pomodori secchi;pomodoro secchi;1
