Nome,Unità di misura,Contatore usi
"Erbe aromatiche miste a piacere (timo, salvia, alloro, rosmarino, maggiorana)",Mazzetto,1
Erbe aromatiche miste secche,Cucchiaino,1
Fagiolini,kg,35
Fagiolini borlotti,g,2
Fagiolini cannellini già lessi,g,2
Fagiolini lessati,g,2
Fagiolini verdi,g,1
Fagiolo  borlotti già lessi,g,1
Fagiolo Borlotti,g,2
Fagiolo Borlotti secchi,g,2
Fagiolo Cannellini,g,3
Fagiolo Cannellini secchi,g,1
Fagiolo azuki già cotto,Unità,2
Fagiolo bianchi di Spagna,Lattina,1
Fagiolo borlotti già ammollati,g,2
Fagiolo borlotti secchi,g,2
Fagiolo cannellini,g,2
Fagiolo cannellini già lessi,g,6
Fagiolo cannellini secchi,g,2
Fagiolo cannellino già lessato,g,2
Fagiolo già lessati in scatola,g,4
Fagiolo neri precotti,g,2
Fagiolo nero,g,2
Fagiolo rossi,Unità,1
Fagiolo rossi lessati,g,1
Fagiolo secchi,g,2
"Fagiolo secchi, ammollati una notte",g,3
Fagiolo tondino già lessi,Vasetto,1
Faraona,Unità,1
Faraona già pulita ed eviscerata,kg,1
Faraona già spezzata,kg,1
Farina,g,277
Farina  0,g,1
Farina  0 W 260,g,4
Farina  00,g,4
Farina  W 350,g,1
Farina  bianca 00,g,1
Farina  di farro integrale,g,1
Farina  di grano saraceno,g,1
Farina  di mais bianca,g,1
Farina  di mais fioretto,g,2
Farina  di mandorle,g,3
Farina  di segale,g,1
Farina  di semola rimacinata,g,1
Farina  senza glutine,g,1
Farina  tipo 1,g,2
Farina  tipo 1 macinata a pietra,g,1
Farina 00,Cucchiai,707
Farina 00 (oltre quella per la spianatoia),g,1
Farina 00 autolievitante,g,1
Farina 1,g,8
Farina 450,g,1
Farina Integrale,g,2
Farina Manitoba,g,83
Farina Manitoba o farina per pane,g,2
Farina Mix Africano,g,1
Farina Petra 3,g,2
Farina W 350,g,1
Farina W170,kg,1
Farina a basso contenuto di glutine,g,1
Farina all'occorrenza,Unità,1
Farina auto-lievitante,g,1
Farina autolievitante,g,6
Farina bianca,g,5
Farina d'avena,g,2
Farina d'orzo,g,2
Farina da pane,g,4
Farina da polenta taragna,g,1
Farina debole 00,g,2
Farina di avena,g,1
Farina di banane,g,1
Farina di castagne,g,7
Farina di ceci,g,9
Farina di cocco,g,10
Farina di cocco o cocco rapè,g,1
Farina di farro,g,12
Farina di frumento raffinata,g,1
Farina di grano duro,g,8
Farina di grano duro rimacinata,g,1
Farina di grano saraceno,g,11
Farina di grano saraceno bianca,g,1
Farina di grano tenero di tipo 1 (320 W),kg,2
Farina di mais,g,30
"Farina di mais bianco macinata, per la panatura",Unità,1
Farina di mais bramata,g,2
Farina di mais finissima,g,1
Farina di mais finissima  tipo fumetto,g,2
Farina di mais fioretto,g,1
Farina di mais fumetto,g,1
Farina di mais gialla,g,1
Farina di mais giallo,Cucchiai,2
Farina di mais per polenta istantanea,g,4
Farina di mandorla,g,1
Farina di mandorle,g,15
Farina di manioca,g,1
Farina di nocciole,g,6
Farina di orzo integrale,g,1
Farina di pistacchi,g,1
Farina di quinoa già pronta,g,2
Farina di riso,g,17
Farina di riso finissima,g,2
Farina di riso glutinoso,g,1
Farina di riso integrale,g,1
Farina di segale,g,4
Farina di semola,g,4
Farina di semola di grano duro,g,5
Farina di semola rimacinata,Unità,2
Farina di semola rimacinata di grano duro,g,2
Farina di soia,g,1
Farina di soia (facoltativo),Cucchiaino,1
Farina facoltativa (nel caso il composto fosse troppo liquido),Unità,1
Farina farro integrale,g,2
Farina fecola,g,3
Farina forte,g,1
Farina integrale,g,38
Farina integrale di grano tenero,g,1
Farina integrale macinata a pietra per pane,g,1
Farina istantanea per polenta,g,1
Farina macinata a pietra W 350,g,2
Farina manitoba,g,11
Farina mix Manitoba e 00,g,6
Farina oo,Unità,1
Farina per dolci,Cucchiaio,1
Farina per dolci con amido,g,1
Farina per infarinare,Unità,2
Farina per pasta frolla gluten free,g,1
Farina per pinsa,g,1
Farina semola di Senatore Cappelli,g,1
Farina semola di grano duro,g,1
Farina semola rimacinata di grano duro,g,1
Farina senza glutine,g,7
Farina tipo 0,g,5
Farina tipo 1,g,44
Farina tipo 1 macinata a pietra,g,1
Farina tipo 2,g,5
Farina w 170,g,1
Farina w170,g,1
Farro,g,13
Farro decorticato,g,2
Farro di mandorle,g,1
Farro in fiocchi,Unità,1
Farro pelato,g,2
Farro perlato,g,6
Farro soffiato,g,1
Fasolari,g,1
Fava fresche,g,1
Fava già sbucciate,g,2
Fava greca,g,4
Fava secca,Unità,2
Fave,Manciata,7
Fave baccelli,g,3
Fave baccelli e frutti,g,2
Fave decorticate secche,g,2
Fave di Tonka,Unità,1
"Fave fresche, al netto dello scarto",g,2
"Fave fresche, peso al netto degli scarti",g,3
Fave sgranate crude,g,3
Fecola,g,20
"Fecola , tapioca o amido di mais o riso",g,1
Fecola di patate,g,49
Fegato di vitello o di maiale,g,1
Fermenti lattici liofilizzati per yogurt,g,2
Feta,g,44
Fette Biscottate,g,2
Fettuccine,g,1
Fico,g,2
Fico d'india,Unità,1
Fico freschi,g,3
Fico maturi,kg,2
Fico secchi,Unità,7
Filetto di cervo,g,1
Finferli,g,2
Finocchietto,Cucchiaino,5
Finocchietto fresco,Unità,1
Finocchietto selvatico,g,4
Finocchietto semi,Unità,2
Finocchio,Unità,31
Finocchio (semi),Cucchiaino,1
Finocchio al netto degli scarti,g,4
Finocchio piccoli,Unità,1
Finocchio semi,g,9
Fiocchi d'avena tritati,Cucchiai,1
Fiori bianchi piccoli,Unità,1
Fiori d'arancio,Cucchiai,1
Fiori d'arancio (essenza),Cucchiaino,1
Fiori di borraggine,Unità,1
Fiori di salvia,Unità,1
Fiori di zucca,Unità,5
Fiori di zucchina,Unità,17
Fiori eduli,Unità,2
Fiori eduli di primula,Unità,2
Fiori freschi,Unità,1
Fleur de sel,g,10
Fontina,g,11
Fontina valdostana,g,3
Formaggio,g,3
Formaggio  Emmental a cubetti,g,1
Formaggio  filante,Fette,1
Formaggio  fresco tipo caprino,g,1
Formaggio -casera,g,1
Formaggio Brie,g,1
Formaggio Cacioricotta,g,1
Formaggio Cheddar,g,1
Formaggio Emmenthal,Fette,3
Formaggio Feta,g,2
Formaggio Gouda,g,1
Formaggio Grana Padano,Unità,1
Formaggio Monte Veronese grattugiato,g,1
Formaggio Philadelphia o Certosa,g,1
Formaggio Raclette,g,1
Formaggio Robiola,Cucchiai,1
Formaggio Robiola o altro spalmabile,g,1
Formaggio Scamorza affumicata,g,1
Formaggio a cubetti,g,1
Formaggio a pasta filata,g,2
Formaggio a piacere,g,2
Formaggio a scelta,Fetta,1
Formaggio caprino,g,1
Formaggio casatella DOP,g,1
Formaggio casera,g,2
Formaggio cheddar,Fette,2
Formaggio cremoso,g,5
Formaggio crescenza,g,1
Formaggio di capra,g,1
Formaggio di capra erborinato,g,1
Formaggio di capra semi stagionato,Fette,1
Formaggio di pecora fresco,g,2
Formaggio emmenthal a fette,g,1
Formaggio filante,g,6
Formaggio filante tipo mozzarella,g,2
Formaggio fiscidu,g,1
Formaggio fresco,g,2
Formaggio fresco a piacere,g,3
Formaggio fresco spalmabile,g,3
Formaggio fresco tipo Emmental,g,1
Formaggio fresco tipo robiola,g,3
Formaggio grattugiato,g,4
Formaggio grattugiato tipo gruyère,g,2
Formaggio gruyere,Cucchiai,1
Formaggio italico grattugiato,g,1
Formaggio mascarpone,g,1
Formaggio pecorino siciliano grattugiato,Cucchiai,1
Formaggio primo sale,g,3
Formaggio primosale,g,2
Formaggio quark,g,1
Formaggio robiola,g,1
Formaggio semi stagionato,g,1
Formaggio spalamabile,ml,1
Formaggio spalmabile,g,19
Formaggio spalmabile light,g,1
Formaggio spalmabile tipo Philadelphia,g,2
Formaggio stagionato grattugiato (a piacere),Cucchiai,1
Formaggio stracchino,g,1
Formaggio svizzero,g,2
Formaggio tipo Philadelphia,g,2
Formaggio tipo toma,g,2
Formaggio toma grattugiata,g,2
Fragola,kg,7
Fragola a fettine,Unità,1
Fragola a tocchetti,Cucchiaino,1
Fragole,g,54
Fragole di media grandezza,Unità,1
Fragole fresche,Unità,5
Fragole intera per la decorazione,Unità,1
Fragolina,g,1
Fregola sarda,g,4
Friarielli,Manciata,2
Friggitelli,Unità,4
Frisella,Unità,3
Frumento fiocchi integrali,Manciata,2
Frutta,Unità,1
Frutta a piacere,Unità,1
Frutta candita,Unità,3
Frutta di bosco fresca,Unità,1
Frutta di stagione,Unità,3
Frutta fragole e frutti di bosco,Unità,1
Frutta fresca,Unità,1
"Frutta fresca (more, ribes, mirtilli)",g,1
Frutta fresca a piacere,Unità,5
Frutta fresca mista,Manciata,2
Frutta il succo,ml,1
Frutta rossi,Unità,1
"Frutta rossi (lamponi, ciliegie, ribes...)",g,1
"Frutta rossi, lamponi e ribes",g,1
Frutta secca,Unità,3
"Frutta secca (mandorle, noci, bacche di goji, mirtilli)",g,1
Frutta secca a piacere,Unità,1
Frutta secca esotica mista,Cucchiaio,1
Frutta secca mista,Unità,1
Frutti di bosco,g,4
Frutti di bosco (anche surgelati),g,1
Frutti di bosco surgelati,g,1
Fruttosio,g,1
Fumetto di pesce,lt,5
Funghi,g,4
Funghi Champignon,g,2
Funghi Portobello,Unità,2
Funghi cardoncelli,g,2
Funghi champignon,Unità,26
Funghi champignon freschi,Unità,2
Funghi champignon medio grandi,Unità,1
Funghi chiodini,g,1
Funghi freschi,g,2
Funghi freschi misti,g,3
Funghi fresco,g,1
Funghi misti,g,5
Funghi misti surgelati,g,7
Funghi neri cinesi,Unità,2
Funghi pioppini o chiodini,g,1
Funghi pleurotus,g,3
Funghi porcini,g,10
Funghi porcini freschi,g,4
Funghi porcini secchi,g,4
Funghi porcino secco,g,3
Funghi secchi,g,1
Funghi shiitake,Unità,5
Funghi shiitake secchi,g,2
Funghi shitake,Unità,1
Fungo,Unità,2
Fungo sottolio in scatola,Scatola,1
Fusilli,g,5
Fusilli integrali,g,1
Galangal,Fetta,2
Galletta di riso,g,1
Galletto Vallespluga,Unità,2
Galletto in pezzi,kg,1
Gallina,Unità,2
Gallinella,Unità,5
Gallinella di piccola pezzatura,g,3
Gamberetto,Unità,16
Gamberetto rosa,g,3
Gamberetto rosa sgusciati,g,1
Gambero,Unità,50
Gambero argentini,g,1
Gambero coda,Unità,3
Gambero code,g,9
Gambero puliti,g,1
Gambero puliti e sgusciati,Unità,1
Gambero rosa,Unità,1
Gambero rossi già abbattuti,Unità,2
Gambero rosso,Unità,4
Gambero teste,Unità,2
Gamberone,Unità,13
Gamberone  già puliti,Unità,1
Gamberone (o mazzancolle),Unità,1
Gamberone code,Unità,1
Gamberone sgusciati,Unità,3
Garam Masala,Cucchiaino,2
Garam Masala in polvere,Cucchiaino,1
Gelatina,g,3
Gelatina  in fogli,g,1
Gelatina alimentare,Unità,1
Gelatina caprino morbido,g,1
Gelatina di albicocca,g,1
Gelatina in fogli,g,38
Gelatina spray,Unità,3
Gelato,g,2
Gelato  gusto bacio o qualsiasi altra crema preferiate,g,1
Gelato al cioccolato,pallina,3
Gelato al limone,Cucchiai,1
Gelato alla crema,pallina,1
Gelato alla crema con amaretti,g,1
Gelato alla fragola,pallina,1
Gelato alla vaniglia,pallina,2
Gelato fior di latte,g,1
Germogli,Unità,7
Germogli a piacere,g,2
Germogli di alfa alfa,Unità,2
Germogli di porro,Unità,1
Germogli di porro e ravanello,Unità,2
Germogli di soia,Manciata,11
Germogli freschi,Unità,2
Germogli vari,Unità,1
"Ghiaccia reale, preparato in polvere",g,1
Ghiaccio,cubetto,22
Ghiaccio a cubetti,Unità,2
Ghiaccio cubetti,Unità,5
Ghiaccio tritato,Unità,4
Giaccio in cubetti,Unità,1
Giardiniera sottaceto,Cucchiaio,1
Gin,ml,6
Ginepro,bacca,4
Ginepro bacche,Unità,3
Girello  di vitella,g,1
Girello di manzo,g,2
Glicerina,g,1
Glucosio,g,2
Glucosio o miele di acacia o millefiori,Cucchiaino,1
Glucosio sciroppo,g,1
Gnocchi,kg,2
Gnocchi di patate,g,3
Gomasio,Cucchiai,3
Gorgonzola,g,33
Gorgonzola DOP,g,1
Gorgonzola al mascarpone,g,2
Gorgonzola dolce cremoso,Cucchiaino,1
Gramigna,g,1
Grana Padano,g,8
Grana Padano  non troppo stagionato grattugiato,g,1
Grana Padano 16 mesi,g,2
Grana Padano grattuggiato,g,4
Grana Padano grattugiato,Cucchiai,39
Grana Padano padano grattugiato,g,2
Granatina,cl,1
Granatina sciroppo,cl,1
Grand Marnier,ml,2
Grano cotto Chirico,g,1
Grano già cotto,g,1
Grano precotto,g,1
Granola,Cucchiaio,1
Granseola,Unità,2
Grappa,Cucchiaio,6
Grissino,Unità,2
Groviera,g,3
Guancette di manzo,kg,1
Guanciale,g,17
Guanciale a cubetti,g,2
Impasto per piadina,g,1
Impasto per pizza,g,3
Impasto pronto per pizza,Panetti,2
Indivia,Cespi,1
Indivia riccia,g,2
Insalata,Foglia,11
Insalata Indivia belga,Cespi,1
Insalata Lusia I.G.P.,Cespo,2
Insalata Lusia IGP,Foglia,3
Insalata Misticanza,g,1
Insalata a piacere,Unità,1
Insalata foglia di quercia,Unità,1
Insalata gentile,Cespo,5
Insalata iceberg,Foglia,1
Insalata lattuga,Foglia,3
Insalata lattuga romana o iceberg,Cespo,1
Insalata lattughino,g,1
Insalata lollo,Unità,2
Insalata mista,Unità,2
Insalata misticanza,Unità,12
Insalata romana,Cespo,1
Insalata rucola,Unità,1
Insalata songino,Unità,3
Insalata songino o valeriana,g,2
Insalata valeriana,g,3
Kaffir,Foglia,4
Kaffir lime,Foglia,2
Kefir,ml,2
Ketchup,Cucchiai,13
Kinder Bueno,Barretta,1
King crab la polpa,g,2
Kirtsh,ml,1
Kiwi,Unità,11
Lampone,Unità,3
Lampone freschi,Unità,1
Lampone per guarnire,Unità,1
Lamponi,Unità,25
Lamponi freschi,g,1
Lardo,g,4
Lardo di Colonnata,Fette,2
Lardo in un'unica fetta,g,1
Lasagna,g,5
Lasagna arricciate,g,1
Latte,ml,190
Latte  di cocco,g,1
Latte  fresco intero,ml,1
Latte  intero fresco,ml,1
Latte a temperatura ambiente,ml,2
Latte condensato,g,26
Latte consensato,g,2
Latte di avena,Unità,1
Latte di cocco,ml,29
Latte di cocco denso,ml,1
Latte di cocco in lattina,Unità,1
Latte di cocco tiepido,ml,1
Latte di mandorla,ml,19
Latte di mandorla o latte di soia,g,1
Latte di riso,ml,3
Latte di soai,ml,1
Latte di soia,g,11
Latte di soia (o altro latte vegetale),g,1
Latte di soia o di riso,ml,2
Latte fresco,ml,3
Latte fresco intero,ml,7
Latte inteor,ml,2
Latte intero,ml,400
Latte intero congelato a cubetti,g,1
Latte intero freddo,Cucchiai,3
Latte intero fresco,Unità,20
Latte latte,ml,1
Latte o acqua,ml,1
Latte oppure acqua,ml,1
Latte per spennellare,Unità,6
Latte per spennellare il dolce,Cucchiaio,1
Latte scremato,Unità,2
Latte tiepido,ml,15
Latte vegetale,ml,5
Latticello,ml,1
Latticello (o yogurt e limone),ml,1
Lattuga,Foglia,13
Lavanda non trattata,Rametto,1
Leerdammer,Fette,2
Lemongrass,g,3
Lemongrass fresco,Stelo,1
Lenticchie,Unità,13
Lenticchie già cotte in padella con aromi,g,3
Lenticchie già lessate,g,1
Lenticchie lessate,g,2
Lenticchie lesse,g,1
Lenticchie piccole,g,2
Lenticchie rosse,g,3
Lenticchie rosse decorticate,g,7
Lenticchie secche,g,4
Lenticchie secche mignon,Unità,2
Lenticchie secchi,g,2
Lievito,bustina,17
Lievito  della tradizione (miscela di bicarbonato e cremor tartaro),g,1
Lievito  di birra,g,5
Lievito  di birra fresco,g,8
Lievito  per dolci vanigliato,bustina,1
Lievito (facoltativo),Cucchiaino,1
Lievito alimentare secco,Cucchiaio,2
Lievito di birra,g,36
Lievito di birra  fresco,g,4
Lievito di birra disidratato,g,1
Lievito di birra fresco,cubetto,134
Lievito di birra liofilizzato,Cucchiaino,2
Lievito di birra secco,g,50
Lievito fresco,g,3
Lievito in polvere per dolci,g,1
Lievito istantaneo,Cucchiaino,3
Lievito istantaneo per dolce,Cucchiaino,1
Lievito istantaneo per dolci,g,3
Lievito istantaneo per focacce e torte salate,g,1
Lievito istantaneo per preparazioni salate,Unità,3
Lievito istantaneo per tolte salate,g,3
Lievito istantaneo per torte e focacce,g,2
Lievito istantaneo per torte salate,g,34
Lievito istantaneo per torte salate (circa mezza bustina),g,1
Lievito istantanteo,Cucchiaino,1
Lievito lievito di birra fresco,g,2
Lievito madre,g,6
Lievito madre non rinfrescato,g,3
Lievito per docli,bustina,1
Lievito per dolci,g,205
Lievito per dolci (1/2),Unità,1
Lievito per torte,Cucchiaino,1
Lievito per torte salate,Cucchiaino,23
Lievito vanigliato per dolci,Pizzico,58
Lime,Unità,61
Lime il succo,Unità,18
Lime il succo e la buccia grattugiata,Unità,2
Lime il succo e la scorza,Unità,1
Lime intero,Unità,1
Lime la scorza,Unità,1
Lime la scorza e il succo,Unità,1
Lime la scorza grattugiata,Unità,5
Lime la scorza grattugiate finemente,Unità,1
Lime non trattato,Unità,1
Lime non trattato (la buccia),Unità,1
Lime scorza grattugiata e succo,Unità,1
Lime succo,Cucchiai,1
Limoncello,Cucchiai,7
Limone,Cucchiaio,117
Limone  la scorza intera,Unità,1
"Limone  non trattato, 1/2 scorza grattugiata",Unità,1
Limone ( succo di 1/2 limone),Unità,1
Limone (il succo),Unità,3
Limone (la buccia grattugiata),Unità,3
Limone (la scorza grattugiata),Unità,3
Limone (la scorza),tubetto,1
Limone (scorza grattugiata),Unità,1
Limone (scorza),Unità,2
Limone (succo),Unità,9
"Limone , la scorza grattugiata",Unità,1
Limone 1/2,Unità,1
Limone Scorza,Cucchiaino,1
Limone a fette,Unità,3
Limone bio,unità,8
Limone bio scorza grattugiata,Unità,1
"Limone bio, la buccia",Unità,2
Limone biologico,Unità,2
"Limone biologico, scorza",Unità,1
Limone buccia grattugiata,Unità,5
Limone confit,Unità,1
Limone fresco,Unità,1
Limone grande,Unità,2
Limone il succo,Unità,164
Limone il succo e la buccia,Unità,3
Limone il succo e la scorza,Unità,2
Limone il succo e la scorza grattugiata,Unità,1
Limone il succo e la scorza non trattata,Unità,1
Limone ilsucco,Unità,1
Limone la buccia,Unità,5
Limone la buccia e il succo,Unità,2
Limone la buccia grattugiata,Cucchiaino,47
Limone la scorza,Unità,32
Limone la scorza grattuggiata,unità,3
Limone la scorza grattugiata,Unità,99
Limone la scorza grattugiata e il succo,Unità,8
Limone la scorza non trattata,Unità,6
Limone la scorza nontrattata,Unità,2
Limone la scorza rattugiata,Unità,1
Limone non trattato,Unità,15
Limone non trattato la buccia,Unità,1
"Limone non trattato, la buccia",Unità,2
"Limone non trattato, la scorza grattugiata",Cucchiaino,3
Limone non trattatoo,Unità,1
Limone o lime,Unità,1
"Limone o lime, scorza (opzionale)",Cucchiaio,1
Limone per accompagnare,Unità,1
Limone per i carciofi,Unità,1
Limone scorza,Pezzetto,7
Limone scorza grattuggiatea,Unità,1
Limone scorza grattugiata,Cucchiaino,13
Limone scorza non trattata,Unità,1
Limone solo il succo,Unità,1
Limone solo la buccia,Unità,1
Limone spremuto,Unità,1
Limone succo,Unità,15
Limone succo e buccia grattugiata,Unità,2
Limoni,Cucchiai,17
Limoni  il succo e la buccia grattugiata,Unità,1
Limoni (buccia),Unità,1
Limoni al naturale,Unità,2
Limoni bio,Unità,4
Limoni candito,g,1
Limoni di 1 solo la scorzaù,Unità,1
Limoni il succo,ml,30
Limoni il succo e la buccia,Unità,1
Limoni il succo e la scorza,Unità,1
Limoni il succo e le fette,Unità,1
Limoni il succo filtrato,ml,2
Limoni la buccia grattugiata,Unità,1
Limoni la scorza e il succo,Unità,1
Limoni la scorza grattugiata,Unità,4
"Limoni non trattati, la scorza grattugiata",Unità,1
Limoni non trattato,Unità,1
Limoni scorza grattugiata,Cucchiai,1
Limoni succo,ml,10
Lindor,g,1
Lingua salmistrata,g,1
Linguine,g,3
Linguine all'uovo,g,1
Lipini,kg,1
Liquirizia a rotelle,Unità,2
Liquirizia in polvere,g,1
Liquore Sherry,ml,1
Liquore Strega,ml,2
Liquore Vov,ml,1
Liquore al caffè,Bicchierino,1
Liquore al mandarino,Cucchiaio,4
Liquore al mirto,ml,1
Liquore all'amaretto,Cucchiai,1
Liquore all'anice,Bicchierino,1
Liquore all'anice o Sambuca,Cucchiai,2
Liquore alla nocciola,ml,1
Liquore alla pesca,cl,1
Liquore di anice,Cucchiaio,1
Liquore di pera,ml,1
Lumaconi,g,2
Maccheroni,g,3
Macinato di maiale,g,1
Macinato di manzo,g,2
Macinato di suino,g,2
Macinato di vitello,g,1
Maggiorana,Mazzetto,30
Maggiorana fresca,Cucchiaio,13
Maggiorana secca,Cucchiai,1
Maiale Puntine,g,1
Maiale arista,g,4
Maiale arista a fette,Unità,1
Maiale braciole,Unità,1
Maiale carne trita,g,1
Maiale coscia macinata,g,2
Maiale coscia o lonza,g,1
Maiale costine,Unità,5
Maiale fegato,g,2
Maiale fesa,g,2
Maiale filetto,g,3
Maiale filetto macinato,g,1
Maiale londa,Fetta,3
Maiale lonza,g,5
Maiale lonza a fette,Unità,3
Maiale macinato,g,24
Maiale muscolo,g,3
Maiale polpa,g,1
Maiale polpa a fette,g,3
Maiale polpa di spalla,kg,1
Maiale retina,Unità,2
Maiale spalla,kg,2
Maiale spezzatino,g,1
Maiale taglio Arista,Fette,1
Maiale taglio arista,Fetta,1
Maionese,Cucchiaio,36
Maionese bio,Cucchiaino,1
Mais,g,5
Mais dolce,g,3
Mais dolce al vapore,g,1
Mais farina,Unità,2
Mais fiocchi,g,1
Mais in chicchi,Cucchiai,1
Mais in chicchi per pop corn,g,3
Mais tostato,Manciata,1
Maizena,g,12
Maizena senza glutine,g,1
Malto,g,5
Malto d'orzo,Cucchiaino,11
Malto in polvere,Cucchiaino,1
Malto sciroppo di riso o agave,g,2
Mandarino,Unità,1
Mandorla,Manciata,12
Mandorla a lamelle,Unità,19
Mandorla a lamelle per decorare,Unità,2
Mandorla a scaglie,Unità,1
Mandorla amara essenza,Cucchiaino,1
Mandorla estratto liquido,Unità,1
Mandorla granella,Unità,1
Mandorla in lamelle,Cucchiaio,1
Mandorla in scaglie,Unità,1
Mandorla intere,Unità,1
Mandorla pelate per decorare,Unità,1
Mandorla sgusciate,Unità,2
Mandorle,g,53
Mandorle  in scaglie,g,2
Mandorle a lamelle,g,13
Mandorle a lamelle tostate,g,3
Mandorle a scaglie,g,2
Mandorle al naturale,g,1
"Mandorle amare, essenza",goccia,1
Mandorle con la buccia,g,2
Mandorle con la pelle,g,1
Mandorle farina,g,5
Mandorle granella,Cucchiaino,3
Mandorle grezze frullate,g,1
Mandorle in lamelle,g,2
Mandorle in polvere,g,1
Mandorle in scaglie,g,1
Mandorle intere,g,1
"Mandorle intere, tagliate grossolanamente",g,2
Mandorle latte,ml,1
Mandorle non pelate,g,1
Mandorle pasta,g,1
Mandorle pelata,Unità,2
Mandorle pelate,g,5
Mandorle pelate e tostate,g,1
Mandorle sbucciate,g,2
Mandorle sbucciate e tritate,Unità,1
Mandorle senza guscio,g,1
Mandorle sgusciate,g,1
Mandorle sgusciate e pelate,g,2
Mandorle sgusciate non pelate,g,1
Mandorle spellate,Cucchiai,8
Mandorle tostata,g,1
Mandorle tostate,g,4
Mandorle tostate e frullate,g,1
Mandorle tritata,Cucchiai,1
Mandorle tritate,g,6
Manfredi,g,1
Mango,Unità,11
Mango maturo,g,2
Manioca farina,g,1
Manzo,kg,5
Manzo a fette sottili,Fette,1
Manzo carne trita,g,1
Manzo controfiletto,g,1
Manzo coste,g,1
Manzo da spezzatino,g,1
Manzo fettine di girello,Unità,1
Manzo filetto,g,8
Manzo gallese,g,2
Manzo gallese i.g.p. filetto o controfiletto,g,1
Manzo irlandese,g,3
Manzo lombata,kg,1
Manzo macinato,g,34
Manzo muscolo,g,3
Manzo polpa,g,3
Manzo polpa da brodo,g,1
Manzo scamone,kg,2
Manzo spezzatino,g,2
Manzo taglio cappello del prete,g,2
Manzo taglio roast beef,g,2
Manzo taglio roastbeef,g,1
Manzo tasto,g,3
Maraschino,ml,2
Marmellata,g,6
Marmellata a piacere,Cucchiai,2
Marmellata ai lamponi,Unità,1
Marmellata di albicocche,g,3
Marmellata di arance,Cucchiai,1
Marmellata di arance amare,g,4
Marmellata di arancia,g,3
Marmellata di ciliegie,Unità,1
Marmellata di frutti rossi,g,3
Marmellata di mirtilli neri,g,1
Marmellata gusto a piacere,Vasetto,1
Marrone,kg,1
Marsala,Unità,12
Marsala secco,ml,2
Marshmallow,Unità,1
Marshmallow bianchi,Unità,1
Marshmallow grandi per le orecchie,Unità,1
Marzapane,g,2
Mascarpone,g,70
Mazzancolla,Unità,12
Mazzancolla lessate o cotte al vapore,g,1
Mela,g,55
Mela  già sbucciate e di tipi diversi,kg,1
Mela Gala,Unità,1
Mela Golden,g,2
Mela Golden Delicious o Royal Galaal netto degli scarti,Unità,1
Mela Golden al netto degli scarti,g,1
Mela Granny Smith,Unità,6
Mela Marlene,Unità,1
Mela Pink Lady,Unità,4
Mela Pink lady,Unità,2
Mela Rum,ml,1
Mela Stark delicious,Unità,1
Mela al netto degli scarti,g,3
Mela al netto degli scarti (golden o renette),g,1
Mela fuji,Unità,1
Mela gialle,Unità,2
Mela golden,Unità,1
Mela golden o gala,Unità,1
Mela grandi,Unità,2
Mela grattugiata,g,2
Mela pink lady,Unità,1
Mela renetta,Unità,2
Mela renette,g,1
Mela rosse,Unità,1
Mela succo,ml,2
Mela succo o estratto,ml,1
Mela succo senza zucchero,Cucchiai,1
Mela tipo Golden,Unità,1
Mela verde,Unità,2
Melagrana,Unità,10
Melagrana chicchi,Unità,1
Melagrana i chicchi,Unità,1
Melagrana il succo,Unità,1
Melagrana matura,Unità,1
Melagrana succo,ml,1
Melanzana,Unità,108
Melanzana baby,Unità,2
Melanzana grandi,Unità,1
Melanzana grandi striate,Unità,2
Melanzana lunghe,kg,3
Melanzana lunghe e medie,Unità,1
Melanzana lunghe medie,Unità,2
Melanzana medie lunghe,Unità,3
Melanzana ovali,kg,2
Melanzana perline,g,1
Melanzana piccola,Unità,3
Melanzana rotonda viola,Unità,1
Melanzana tonda viola,Unità,2
Melanzana tonde grosse,Unità,1
Melanzana viola,Unità,1
Melanzana violetta,Unità,1
Melanzana violette,Unità,1
Melograna,Unità,3
Melograne,g,3
Melone,Unità,11
Menta,Mazzetto,49
Menta essiccata,Cucchiaino,4
Menta facoltativa,Unità,2
Menta foglioline,Unità,1
Menta fresca,Rametto,62
Menta fresca tritata,Cucchiai,1
Menta in foglie,Unità,1
Menta sciroppo,ml,1
Mentuccia fresca,Unità,2
Meringa,Unità,1
Meringhe,g,1
Meringhe grandi,Unità,1
Meringhe in pezzi,g,1
Merluzzo,g,2
Merluzzo filetti,g,1
Merluzzo filetto,g,4
Merluzzo in filetti,g,5
Merluzzo polpa,g,2
Merluzzo sotto sale,g,1
"Merluzzo stoccafisso, la polpa in pezzi già ammollato",g,1
Midollo,g,1
Midori,cl,1
Miele,g,119
Miele d'acacia,g,6
Miele di acacia,Cucchiai,21
Miele di acacia o millefiori,Cucchiaio,1
Miele di acaica,ml,1
Miele di agrumi,g,1
Miele di castagno,Cucchiaino,6
Miele di corbezzolo,Unità,2
Miele di fiori d'arancio,Cucchiaino,2
Miele di tartufo o senape,Unità,1
Miele millefiori,g,9
Miele o sciroppo d'acero o frutta fresca,Unità,2
Miglio,g,3
Miglio decorticato,g,2
Mikado,Unità,1
Mirin,Cucchiaino,3
Mirtillo,g,18
Mirtillo confettura,g,1
Mirtillo freschi,g,3
